Recency,Frequency,Monetary
29,4,34.5
75,9,300.05
46,18,351.18
280,5,139.0
166,1,17.4
79,19,404.73
357,3,48.5
39,7,123.95
8,56,1092.3999999999994
50,35,171.91
158,9,2840.8599999999997
1,6,50.8
319,5,89.60000000000001
5,20,459.51000000000005
302,4,60.3
8,55,1358.6799999999998
261,5,128.25
288,4,53.22
86,14,275.6700000000001
22,150,3111.340000000002
2,49,1145.41
39,11,163.56
8,21,323.15000000000003
227,13,80.47000000000001
315,3,58.4
35,27,400.59000000000003
35,40,89.19000000000001
21,32,581.41
73,11,127.45
246,4,47.099999999999994
39,6,78.39999999999999
238,8,141.52
2,89,2261.1800000000003
3,48,582.3599999999998
234,31,537.52
17,2,32.580000000000005
39,4,82.75
28,15,245.79000000000002
190,18,2452.16
317,6,89.45
92,3,99.0
108,9,179.0
37,49,1319.82
51,5,219.22
19,80,1190.54
9,32,656.58
29,19,332.15999999999997
28,20,855.1400000000001
189,9,180.92000000000002
58,4,48.620000000000005
21,1,613.1999999999999
79,7,114.03999999999999
58,50,49.94999999999999
78,20,435.27
22,37,638.0999999999999
52,16,286.84
57,6,159.10000000000002
31,48,984.7900000000003
277,7,119.85
2,43,1030.0600000000004
95,14,210.35000000000002
29,11,116.04
21,1,14.850000000000001
16,33,1641.44
14,37,517.5800000000002
1,134,3878.550000000003
232,2,29.999999999999996
276,10,174.2
106,9,128.48000000000002
211,32,801.0800000000002
23,96,1797.33
10,61,1156.0000000000002
4,16,324.34999999999997
9,15,365.03999999999996
57,6,266.9
58,39,938.5200000000001
89,37,627.81
67,119,1762.4800000000002
33,9,123.55000000000001
238,5,104.39999999999999
23,12,344.70000000000005
115,4,65.3
25,12,215.18
128,7,787.38
129,12,188.98999999999998
33,16,455.36
4,12,360.27
22,28,607.63
154,4,54.60000000000001
107,13,211.39999999999998
3,8,142.44
334,4,55.50000000000001
322,9,112.5
148,13,541.2599999999999
10,13,208.18
17,40,1152.1399999999999
11,19,362.40999999999997
18,9,188.56000000000003
11,3,60.900000000000006
1,86,1443.5899999999997
8,13,1494.0799999999997
324,1,15.0
359,1,1.0
58,6,87.91999999999999
7,57,1350.1500000000003
150,31,1589.1699999999996
10,26,787.8899999999999
329,5,74.1
5,13,216.55999999999997
38,22,564.5600000000001
24,16,397.42
42,48,3875.9199999999987
52,15,277.44000000000005
1,15,269.19
14,197,4003.05
3,154,3238.3700000000026
4,115,2145.86
7,32,855.38
28,51,932.2400000000001
371,1,15.0
113,48,1360.63
25,14,219.9
205,5,106.60000000000001
58,13,336.2
127,12,294.65000000000003
70,10,288.84999999999997
7,9,139.65
28,15,375.16
7,92,1483.2299999999993
79,16,228.98999999999995
19,4,78.0
64,4,18.65
7,33,792.7999999999998
15,90,1910.4
291,13,286.74
29,53,752.3
15,75,2768.24
96,22,271.4099999999999
28,36,1014.1000000000003
1,15,406.2
9,68,1225.0
106,8,165.8
3,18,238.21999999999997
151,15,395.96000000000004
71,7,100.64
5,11,172.04999999999998
2,102,1811.5500000000002
31,55,878.8400000000001
85,11,158.91
3,25,352.0600000000001
5,17,334.06
371,6,135.2
28,38,703.54
10,32,1086.9599999999998
71,9,141.78
113,7,118.33000000000001
23,91,6070.899999999998
179,5,126.72
234,10,137.45000000000002
352,2,55.199999999999996
315,13,176.48999999999998
332,1,50.4
372,5,67.2
99,13,279.09999999999997
63,8,126.0
134,39,149.49
51,65,8349.830000000002
2,28,1305.82
1,1342,11213.070000000029
3,58,922.08
128,5,90.4
81,14,888.2800000000001
22,62,5112.02
235,20,493.55999999999995
249,1,1.0
86,1,10.08
15,115,1308.1200000000003
116,33,1003.8100000000001
52,31,479.76
7,23,563.96
138,3,107.34
316,16,412.58000000000004
3,98,2089.270000000001
238,10,361.89
210,5,578.5899999999999
59,17,358.66
17,22,427.0599999999999
19,11,183.09999999999997
37,48,1182.97
63,7,128.41
4,39,797.1999999999998
2,25,125.17000000000006
15,18,146.5
364,6,105.45
192,2,36.8
65,1,39.95
192,7,98.12
256,9,176.84999999999997
334,7,131.25
53,9,156.22000000000003
18,6,178.5
360,2,0.14999999999999858
170,1,515.52
183,11,152.78
36,10,158.25
168,5,74.2
261,6,112.9
44,7,109.7
147,16,301.40999999999997
95,9,154.0
281,3,126.03999999999999
178,7,243.45
3,24,389.1499999999999
214,2,27.2
70,17,319.65000000000003
74,4,1530.0
59,6,90.0
2,29,488.35
32,3,44.85
2,11,141.13
336,1,79.9
37,16,3370.32
262,3,76.75
32,7,100.25
145,12,197.51999999999998
282,5,90.4
59,52,652.8900000000001
173,3,50.25
33,33,217.52999999999994
2,88,1623.0599999999995
143,35,824.9999999999999
4,133,1258.340000000001
70,9,358.14000000000004
159,32,517.8299999999999
29,11,51.970000000000006
268,6,223.2
22,26,247.52999999999997
31,13,210.64
96,15,57.42
290,10,108.64999999999999
107,26,621.89
78,36,488.51
7,109,730.0800000000002
210,11,249.1
52,4,417.2
138,1,17.4
26,28,428.78
283,14,287.15
26,177,1290.5399999999995
185,28,371.26
326,18,192.25000000000006
57,23,645.6599999999999
3,42,438.96
18,18,270.65
78,4,61.60000000000001
9,4,345.59999999999997
24,12,206.60000000000002
88,5,261.25
63,25,371.96999999999997
67,31,416.84
214,3,247.56
24,26,143.12
30,10,54.570000000000014
42,8,139.9
204,2,87.7
10,26,3886.07
264,5,61.730000000000004
18,22,127.87
11,23,726.1100000000001
312,2,1.0
77,26,520.94
64,13,466.61999999999995
2,8,452.88
4,12,464.52000000000004
148,4,68.9
138,26,679.4
128,1,297.0
8,18,578.8000000000001
17,8,34.39
9,221,5143.7
161,9,117.74
64,6,26.010000000000005
88,6,152.39
4,12,189.94000000000003
45,23,478.08000000000004
78,8,126.70000000000002
21,27,10129.98
24,35,155.04
2,41,650.12
17,17,218.61
15,37,480.99
25,4,46.74
64,10,2557.8799999999997
54,25,264.38000000000005
131,27,252.37
35,9,162.08
288,7,128.55
143,30,407.84
16,35,623.5100000000001
30,73,1366.0100000000004
2,10,881.4
8,17,291.94
5,21,370.05
9,5,85.95
1,50,1441.0599999999997
306,3,17.35
9,69,1175.3899999999999
113,1,23.4
8,30,554.7900000000001
89,37,295.89000000000004
9,5,76.28
3,11,743.0999999999998
112,2,71.14999999999999
7,49,128.15
3,80,2832.849999999999
197,2,29.650000000000002
211,9,270.04
156,3,8.27
155,9,1990.5299999999997
29,6,149.72
239,15,180.53000000000003
18,1,30.0
1,26,433.81
73,14,232.4
292,43,287.15
8,26,2425.06
31,3,81.9
23,9,152.54
207,4,53.699999999999996
4,21,270.29999999999995
85,1,135.0
22,24,425.1499999999999
196,7,148.5
106,14,300.59000000000003
4,104,3527.41
318,1,9.95
105,3,92.7
11,117,1574.3600000000004
173,9,182.8
323,5,0.9600000000000009
372,2,35.550000000000004
9,31,345.88
1,73,1702.1599999999999
2,29,749.4500000000002
53,54,914.5000000000002
73,20,338.75000000000006
16,146,2362.250000000001
4,42,787.1099999999999
64,11,210.48999999999998
1,16,245.94
113,9,1920.0
22,13,185.75
30,5,729.5999999999999
11,30,192.75
52,16,260.71000000000004
357,3,54.35
54,11,163.96
57,8,145.35000000000002
138,13,264.15000000000003
183,8,264.4
8,10,138.11
273,4,259.36
291,12,216.10000000000002
99,10,138.48
30,7,121.33
31,68,991.8700000000002
14,39,523.8899999999999
64,4,198.60000000000002
14,119,1683.269999999999
212,6,136.20000000000002
64,31,440.64
58,2,57.45
249,3,57.10000000000001
253,5,121.67999999999999
72,3,111.51
191,2,153.0
12,26,446.5499999999999
373,3,59.099999999999994
24,17,156.85
82,3,11.9
1,144,780.7699999999998
192,3,62.400000000000006
266,3,80.10000000000001
129,7,208.8
1,38,159.8
1,114,4186.599999999999
4,1,30.0
179,3,27.72
11,304,7715.939999999994
126,27,828.7500000000001
4,5,114.95000000000002
157,9,130.58
4,553,16438.770000000015
8,44,2287.2100000000005
28,5,99.6
70,7,100.5
275,54,2309.16
21,5,378.42
70,2,24.36
32,123,1355.67
1,188,9414.140000000005
234,3,49.74
1,85,1696.8099999999997
39,1,41.7
46,4,248.16000000000003
133,1,76.5
44,20,463.9
372,4,198.0
51,16,290.19
31,41,411.41999999999996
1,81,4507.870000000002
11,42,660.61
138,9,163.92999999999995
21,22,315.26000000000005
19,24,393.04
269,14,41.57
240,13,236.48000000000002
89,74,1254.8100000000002
4,37,502.17999999999995
77,6,106.60000000000001
23,17,352.5
261,1,17.0
273,3,42.35
72,31,494.98
50,42,792.9899999999998
10,213,1169.9300000000003
22,17,263.60999999999996
16,41,1231.96
108,13,119.00000000000001
84,29,529.85
19,6,96.25999999999999
332,1,63.75
86,2,291.25
26,7,67.8
43,1,118.80000000000001
29,91,689.8000000000003
14,27,588.4
203,21,344.05
5,4,87.08000000000001
144,1,1.0
33,29,265.98
49,19,289.18
94,26,406.66999999999996
8,36,503.30999999999995
22,2,60.89999999999999
313,2,32.1
122,32,686.6899999999999
46,10,230.68000000000004
283,11,103.0
18,17,178.13
36,42,375.5999999999999
63,5,227.10000000000002
26,11,41.39
49,14,98.14
4,12,89.15
16,91,690.9600000000003
46,19,143.32999999999998
64,4,70.35
26,78,1809.6999999999991
7,21,860.18
14,64,708.27
39,28,448.32
337,14,107.73999999999998
11,1,99.60000000000001
18,10,86.43999999999998
95,20,316.01
61,9,37.05
11,33,555.9300000000002
10,63,911.5400000000002
3,34,2088.879999999999
19,11,258.48
9,23,337.98
15,2,61.5
59,49,431.13
30,103,1950.9799999999998
93,9,151.34000000000003
10,13,420.7300000000001
19,43,233.74999999999994
56,25,441.95000000000005
267,1,69.12
131,2,242.92000000000002
127,1,5.88
78,7,281.85
240,19,191.79
200,2,32.4
60,38,611.9300000000001
3,11,1940.1599999999999
273,5,43.4
201,3,69.0
81,1,179.0
225,3,51.6
4,180,822.2999999999998
12,71,462.95
74,10,157.68
212,18,281.78000000000003
24,8,150.16000000000003
11,8,117.39999999999999
261,5,49.08
96,30,299.65000000000003
112,3,62.400000000000006
203,15,141.01
92,9,36.8
50,7,194.05
18,50,707.8799999999998
22,7,130.5
124,5,91.05
92,6,332.91
156,12,288.92
373,1,17.700000000000003
11,13,268.14
61,19,60.76
61,3,112.19999999999999
285,4,438.6
263,6,84.28
1,476,2201.1700000000023
53,27,760.9799999999999
11,53,1009.7300000000002
2,76,1463.8899999999999
17,138,962.4100000000001
1,82,1569.3399999999997
366,1,590.0
37,33,80.07000000000001
31,5,77.45
113,2,5.82
63,12,216.10000000000002
15,3,76.4
40,11,104.31
78,3,47.36
122,24,256.92999999999995
18,7,169.10000000000002
59,3,42.36
330,1,15.299999999999999
23,56,759.9499999999999
155,10,47.42
38,12,244.0
189,13,203.0
359,2,45.0
137,2,21.0
7,21,675.2800000000001
268,1,17.700000000000003
164,10,175.60000000000002
103,25,166.41
155,1,63.75
351,9,126.17999999999999
4,28,774.99
120,1,15.0
22,22,486.36999999999995
7,32,429.74
28,30,431.96999999999997
4,7,211.62
22,29,594.8999999999999
1,18,148.54
37,21,1460.0
64,40,701.9099999999999
1,6,134.22
5,150,3135.5700000000006
78,34,424.19
86,2,38.1
17,10,107.75999999999999
3,5,133.0
32,26,2049.8
81,6,176.3
38,27,777.1500000000002
316,7,569.3999999999999
31,6,294.71999999999997
92,15,367.58
14,8,136.62
82,69,926.04
77,17,284.46
154,8,210.45000000000002
200,20,300.31
45,33,2409.8
260,15,307.0
172,9,152.35
67,31,565.2400000000001
276,8,144.7
70,1,45.0
64,1,17.700000000000003
10,3,86.60000000000001
16,14,251.85000000000002
66,4,87.8
60,4,62.99999999999999
71,16,221.09999999999997
122,11,193.05
80,12,225.13
257,24,206.04999999999998
268,8,119.58
63,8,168.46
3,54,979.8199999999997
17,22,338.61
66,7,1.0
8,34,566.4599999999999
256,9,192.68
354,7,115.68
366,11,174.25000000000003
89,9,134.61
60,41,978.4300000000002
81,9,145.45999999999998
99,17,322.21
26,25,100.84
21,49,948.8600000000001
280,7,109.22
30,45,973.5300000000001
329,13,201.55
131,9,164.54
11,15,243.60999999999999
74,5,229.79999999999998
1,47,674.15
185,7,103.82000000000001
21,18,434.2300000000001
72,13,570.82
192,8,124.97999999999998
127,11,198.58999999999997
1,6,113.78
204,7,201.8
1,162,9109.140000000003
24,9,375.92
107,7,125.0
133,2,400.08
43,10,358.1
4,8,198.7
11,100,1770.8499999999997
63,4,65.86
149,3,36.0
40,31,563.92
64,33,687.0499999999998
108,16,437.54
1,44,969.11
19,14,283.58000000000004
10,18,54.040000000000006
10,22,320.07
18,13,128.9
67,14,359.56
74,4,278.40000000000003
5,27,914.7100000000002
1,5,82.14999999999999
14,47,984.02
255,23,106.61000000000004
91,7,166.08000000000004
23,20,322.83
16,53,928.74
23,6,101.97999999999999
26,23,641.2799999999999
26,144,977.7299999999999
270,1,295.0
165,9,190.98
24,14,160.94
17,17,606.08
7,99,2256.69
29,5,54.3
38,7,487.19999999999993
183,3,23.55
58,15,252.91
184,6,122.7
10,30,416.55999999999995
7,90,1535.3600000000006
99,4,66.0
5,81,760.5899999999998
60,9,178.95000000000002
236,21,52.23000000000002
191,27,539.02
178,25,551.27
37,26,433.1299999999999
200,4,124.29999999999998
45,32,480.47000000000014
232,5,90.53
65,4,40.56
241,2,31.8
233,4,73.30000000000001
78,23,363.5999999999999
57,13,214.10000000000002
17,139,3028.830000000001
294,2,22.8
147,31,468.42
136,17,395.53999999999996
275,3,209.18
311,5,109.05000000000001
7,17,682.15
10,9,136.17000000000002
282,4,82.2
17,12,215.84
23,21,309.5
242,14,226.81
16,7,94.38
71,7,77.7
64,7,77.58000000000001
67,80,1574.4500000000005
316,10,181.57
3,45,670.1500000000002
243,3,45.6
8,16,421.59999999999997
1,38,589.6799999999998
260,6,94.87
126,2,39.599999999999994
73,2,81.4
72,19,274.23999999999995
21,11,328.94999999999993
59,49,770.92
85,10,168.06
78,2,26.75
58,23,987.32
1,113,306.20999999999975
30,2,41.1
33,56,1424.2600000000002
40,4,102.47999999999999
14,1,23.9
33,73,746.7799999999999
78,4,130.89999999999998
205,9,199.34999999999997
33,19,43.44000000000001
182,23,76.29000000000002
2,114,1872.5999999999995
1,54,1227.04
43,7,350.40000000000003
85,12,171.45000000000002
39,36,113.22
12,29,198.00000000000003
96,38,223.92999999999998
25,15,275.95
319,2,35.7
66,30,858.0800000000002
73,34,1097.3799999999999
28,6,110.28
5,46,152.28000000000003
7,7,38.85000000000001
215,4,100.72999999999999
81,21,474.51000000000005
84,15,376.25
144,21,1.0
19,9,59.42
40,59,295.4200000000001
173,10,33.349999999999994
17,38,142.59000000000003
243,8,86.85000000000001
12,107,665.52
205,7,356.4
50,8,112.55000000000001
23,12,211.40000000000003
10,47,2338.2799999999993
25,27,483.65
14,6,112.85
309,4,34.0
155,20,289.41999999999996
306,6,54.650000000000006
63,5,356.6
15,60,851.7699999999999
14,11,207.6
11,26,715.0799999999999
64,13,283.15
213,4,64.41999999999999
108,35,581.2999999999998
52,8,89.85000000000001
5,51,218.17999999999995
47,8,32.75
8,93,1974.8499999999997
312,7,90.55000000000001
45,29,167.62
64,10,189.94000000000003
26,7,49.96
243,10,39.85
40,28,130.14000000000001
12,75,343.65999999999985
89,20,323.12
24,61,440.40000000000003
318,9,160.98
40,9,103.56
173,3,19.560000000000002
116,6,92.47999999999999
30,24,174.25999999999996
252,7,90.46000000000001
59,28,344.8500000000001
30,18,2624.77
5,22,648.88
99,5,493.85
24,43,606.3799999999999
33,59,488.5200000000001
67,25,401.91999999999996
36,18,257.37
52,37,298.81
15,2,24.36
74,14,218.64
215,17,75.73000000000002
31,8,164.30000000000004
16,55,1028.2400000000002
120,1,30.599999999999998
9,31,765.3999999999999
256,5,47.0
16,32,704.46
39,2,33.3
45,24,441.14000000000004
43,44,718.73
114,10,105.46000000000001
164,21,160.94
10,5,160.8
9,32,678.25
197,25,376.97999999999996
85,23,320.12
179,7,111.68
60,5,41.0
149,25,82.43000000000002
2,142,1447.7600000000007
50,3,70.2
75,5,65.16
301,5,1.0
18,20,113.30000000000004
151,6,134.04000000000002
151,5,71.96000000000001
1,71,194.0499999999998
17,20,310.69000000000005
187,1,17.0
285,11,22.779999999999998
2,16,2067.05
182,2,19.0
59,2,45.8
24,20,393.2799999999999
325,1,1.0
3,161,16247.539999999986
31,19,441.59000000000003
38,3,32.16
155,2,47.7
26,56,673.4700000000001
318,1,99.5
5,46,726.6
7,6,117.10000000000001
302,8,147.47
267,14,283.01
271,16,89.31
3,111,2036.6100000000006
31,3,44.16
218,2,39.9
246,1,36.0
281,31,350.44
269,5,36.629999999999995
32,25,387.2300000000001
246,5,78.15
15,22,395.67999999999995
116,10,223.7
36,10,179.68
131,22,676.4599999999999
217,2,43.45
49,30,414.9
38,13,438.85999999999996
28,4,59.58
36,15,215.17999999999998
135,15,280.3399999999999
219,10,169.89
28,11,176.70000000000002
24,65,887.1500000000002
5,47,196.85
200,10,96.44
18,2,125.10000000000001
240,3,36.48
71,9,177.85000000000002
16,95,980.48
2,12,381.3599999999999
95,26,434.58000000000004
162,6,81.72
95,7,205.97999999999996
53,10,808.58
288,2,77.4
124,30,474.03
287,14,278.86
151,5,141.9
3,108,665.19
2,56,1852.31
11,36,1068.8000000000002
71,7,268.72
54,21,77.32999999999998
50,14,188.50000000000003
204,5,181.2
63,4,376.94
70,52,353.11
2,122,5627.370000000001
2,49,914.4300000000001
64,27,520.3299999999999
33,48,293.59000000000003
81,5,87.30000000000001
8,60,7482.49
103,1,14.75
7,18,159.72
250,6,37.400000000000006
12,28,199.74
57,8,838.44
367,3,71.4
75,11,151.51000000000002
4,17,138.14
43,7,841.3
66,1,10.2
1,117,9834.330000000002
116,12,220.38000000000002
309,9,135.9
66,10,139.75000000000003
138,18,1453.6799999999998
255,4,60.3
30,49,951.45
52,6,426.92
63,3,72.2
367,1,15.0
5,26,482.32
305,4,36.55
28,13,215.62000000000006
183,4,77.25
42,10,140.86
39,17,283.05
56,19,573.6499999999999
22,42,1044.97
23,9,192.75000000000003
29,5,79.56
301,13,402.7
144,16,95.11000000000001
5,28,161.34
18,12,366.90000000000003
32,10,553.45
176,2,30.6
57,27,130.81
22,5,65.43
16,28,748.5900000000001
19,2,34.8
159,9,98.75
52,12,197.07
211,5,93.5
5,49,219.29999999999995
58,64,1036.7599999999998
11,2,40.599999999999994
64,4,159.66
24,21,337.4500000000001
92,4,775.0
51,29,414.56999999999994
129,28,489.19999999999993
95,21,1240.62
57,5,219.74
8,35,2694.89
168,4,70.1
326,5,22.21
1,23,372.64
18,41,591.5
245,6,63.160000000000004
136,8,147.92
74,2,36.400000000000006
31,17,256.56
38,11,175.04
123,103,1081.7599999999998
2,29,726.8800000000001
22,102,1914.3100000000002
119,7,136.7
358,3,48.6
53,20,502.58
63,1,23.8
54,10,362.68000000000006
21,53,985.0900000000004
3,50,5502.650000000001
2,24,429.5599999999999
1,34,568.05
7,14,160.75
189,11,228.0
71,4,62.3
204,3,55.260000000000005
119,9,153.16
92,3,55.3
1,33,504.7900000000001
52,8,184.54999999999998
297,4,77.2
22,13,123.44999999999999
28,43,1082.46
50,4,58.3
16,6,99.32
183,13,187.12000000000003
72,28,546.9900000000001
37,7,73.74
79,32,678.93
57,50,964.9399999999998
11,13,215.13000000000005
49,9,147.68
49,10,294.52
53,9,78.85
351,3,73.69999999999999
53,6,119.24000000000001
1,37,383.80999999999995
113,10,89.05
23,4,78.9
74,7,145.7
10,7,97.95
169,4,315.49999999999994
57,4,73.2
85,16,263.32000000000005
294,2,45.55
109,7,204.09000000000003
263,5,101.89999999999999
171,7,67.48
169,2,48.0
35,3,36.44
23,16,152.91000000000003
17,16,297.25
21,17,1667.31
79,2,13.98
2,39,646.7900000000001
11,18,353.14
176,14,279.98
211,45,958.1510000000001
7,9,2302.92
1,12,186.59
154,5,82.65
5,33,228.57
79,30,147.17000000000002
21,5,74.46
245,1,12.600000000000001
308,8,159.35
145,1,35.7
7,197,3064.9100000000003
18,49,738.5799999999998
70,6,60.769999999999996
287,3,44.75
49,7,110.06000000000002
31,87,559.5899999999998
206,5,225.66000000000003
45,4,27.41
73,21,335.64000000000004
60,5,117.08
39,41,584.09
29,35,947.41
26,4,145.09999999999997
4,110,2146.89
17,3,32.71
19,82,1349.2900000000002
65,12,247.89999999999998
213,2,50.550000000000004
12,24,172.77
32,43,944.19
3,50,845.8900000000002
15,21,372.71000000000004
10,62,1051.65
211,4,146.4
45,15,969.6899999999999
134,19,213.52000000000007
43,51,1239.1499999999999
9,30,1565.8800000000006
115,9,234.42000000000002
198,9,108.36
277,3,102.3
110,10,138.60000000000002
77,11,110.58000000000001
52,8,379.5
154,46,1315.1799999999996
46,21,429.47
16,16,268.4799999999999
155,7,270.45
225,8,114.24000000000002
7,10,231.13000000000002
121,7,147.95
60,1,9.9
63,8,294.1
18,79,876.9299999999998
7,80,4491.89
2,52,1110.4299999999994
22,24,123.49
28,25,615.1
284,13,186.37
364,9,44.2
78,25,443.12
33,3,49.6
40,66,932.2099999999999
266,8,90.05
26,64,239.52999999999994
337,2,458.4
284,5,58.57
8,10,183.90000000000003
305,31,137.74
16,147,1726.02
31,16,211.84999999999997
1,66,4481.460000000002
19,14,63.13
159,2,125.0
65,1,16.5
106,1,33.0
1,354,2345.7200000000016
23,97,1953.8399999999995
266,4,100.8
4,74,2205.08
9,30,3788.0699999999997
29,28,256.9999999999999
266,3,48.3
63,14,91.83000000000001
320,10,90.2
3,95,269.13999999999993
32,4,46.47999999999999
4,9,213.18
129,13,46.079999999999984
40,17,252.21999999999997
101,17,114.87
124,2,21.0
267,39,189.88999999999996
364,12,87.4
4,54,284.56999999999994
2,134,1408.1899999999996
2,27,81.15
10,189,17201.219999999998
56,3,7.8
324,1,76.32000000000001
7,55,1039.0300000000002
12,32,130.04999999999998
4,1549,17306.929999999924
36,8,84.57999999999998
16,79,901.3099999999997
137,6,48.1
73,10,1532.71
11,27,398.95
165,4,8.030000000000001
239,23,345.0599999999999
51,37,814.2700000000001
30,8,121.41000000000001
23,5,1.0
3,39,1404.6799999999996
14,3,243.3
22,49,706.2700000000001
3,8,1.0
273,4,99.69999999999999
19,16,355.88
354,1,1.0
3,59,928.4300000000003
84,2,48.08
10,50,806.89
7,2,74.2
122,7,126.39999999999999
60,13,173.71999999999997
1,18,407.65
319,19,117.45000000000002
2,69,1342.6200000000006
301,10,123.85
1,42,1301.6900000000003
1,17,359.66999999999996
46,9,194.96
3,21,270.69999999999993
2,15,291.48
373,6,84.15
46,3,891.0
8,74,807.98
49,3,325.0
233,1,14.850000000000001
212,14,166.79
35,10,355.64
75,17,168.75
239,18,388.78
266,2,47.35
9,434,35533.300000000025
19,16,140.35000000000002
40,6,86.9
19,360,1418.6200000000006
215,42,423.71
173,6,39.05
87,14,767.4699999999999
70,4,555.2
275,8,54.4
165,13,157.25
98,21,132.75
10,7,216.0
33,9,41.2
51,51,900.8800000000001
297,11,176.95
84,13,271.38
8,99,485.64999999999986
40,49,194.55999999999997
10,58,1057.8000000000002
66,7,145.39999999999998
331,2,177.75
30,22,580.9500000000002
2,81,1465.8700000000001
1,91,1606.42
67,17,359.24
4,171,3365.5100000000016
201,2,483.8
106,2,43.32
18,10,120.39999999999999
218,1,10.2
60,10,136.21999999999997
2,13,40.400000000000006
16,10,99.89999999999999
239,11,151.48
94,1,10.5
10,26,619.0800000000002
105,30,520.62
53,39,705.9699999999999
89,4,389.79999999999995
371,1,1.0
50,21,327.26
11,37,621.8999999999999
3,19,434.44999999999993
1,34,728.0000000000002
42,4,58.56
4,2,9.36
247,5,100.19999999999999
42,59,917.4099999999997
177,17,266.74
92,19,299.07
110,36,395.5399999999999
28,19,518.42
26,68,1249.37
51,11,634.75
183,19,283.35
42,35,684.9999999999999
49,7,243.40000000000003
22,49,228.38
75,20,885.7000000000002
80,6,93.72000000000001
373,1,19.9
326,2,20.0
43,40,745.2599999999998
30,16,273.73
183,1,13.200000000000001
234,2,39.3
8,56,973.6500000000003
219,33,505.38999999999993
110,24,540.83
278,8,50.9
318,1,15.0
7,34,561.3900000000001
1,23,691.9800000000001
254,20,281.12000000000006
64,36,1232.5399999999997
9,35,3941.9600000000005
50,10,248.74
8,37,666.7799999999999
154,3,67.80000000000001
109,12,199.93000000000004
150,26,380.95
331,9,154.35
225,2,34.9
73,13,172.94000000000003
136,8,162.65
98,12,160.60000000000002
15,66,1124.6
3,55,1379.2699999999995
30,8,155.55
37,9,633.52
23,81,1439.7399999999993
8,1,14.850000000000001
213,4,117.6
8,15,306.53999999999996
11,26,474.57000000000005
1,71,1154.55
7,30,1029.4099999999999
